submission_title,submission_text,top_comment_1_classification
Aita for telling my brother he got exactly what he deserved when he pushed his girlfriend away for being a “gold digger”?,"my brother is a very hardworking man and at 27 he is now very wealthy and doing well for himself. he’s been with this girl for six months and throughout the time we have gotten close because we both like hair, makeup, and shopping. i never knew there was anything wrong with their relationship except when she texted me last week i saying she would love to hang out but thinks it’ll be inappropriate because her and my brother broke up. i asked her why and she said she was sick and tired of “auditioning” to prove she was with him for the right reasons. she went on to say that my brother is paranoid she’s after his money so he would test her like 1. leaving out his bank statements on their bed and getting upset when she picked it up 2. going out to eat at high end restaurants he requested and leaving his wallet on home at purpose to make her pay the bill and prove she’s not going out with him for money 3. never buying her gifts and questioning her when she asks why he doesn’t. 



i was shocked so i had to hear my brothers perspective. we spoke and he told me everything she said was true and that there’s nothing wrong with making sure his girlfriend is with him for the right reasons. he said he left his bank statements on the bed and was peeking through the door to see if she would be curious and when he saw her pick up the papers he knew in his gut she was using him for his money, so he set up the restaurant idea to see if she would get upset at paying a 500$ bill which she was. i asked him if he thinks her being an elementary school teacher could’ve contributed to her being upset at a 500$ bill at a restaurant he wanted to go to and he said no. he said the straw that broke was when she asked him why he hasn’t bought her a single gift since they’ve started dating when she bought him a gaming console and new rims for his car and he knew she was just discretely asking him to buy her an expensive gift. 


he confronted her and said he thinks she’s with him for his money so she said let me do us both a favor and dumped him and blocked him. he’s upset about the “gold digging bitch” and when i laughed he called me an asshole. he said i would never understand what’s it’s like being a rich man and being used and i get that concern, but i told him if he thinks any woman will be okay with his tests and auditions he’s delusional as hell. if he doesn’t want to be used for his money he should start dating people as wealthy as him or leave lower income people alone if he’s not going to be genuine in his relationships unless they pass his “test”.",NTA
AITA for expecting my gf to pay her share of the rent?,"my gf and i have been dating for a year and we want to move in together. we want a 2 bedroom 1 bath apartment or townhouse near my work. i’m a 2nd year pathology resident and my residency is 5 years long. she works from home and wants an office. she also makes 120k and i only make 68k. so our rent is $1800/month + utilities and she wants to go half on both rent and utilities so we would both pay roughly 1000 a month. 

because she is using one of the rooms as her office i feel like she should pay more so i should pay $700 and she should pay $1300. she thinks even if she is using an extra room because living near the hospital is very expensive i should pay half because we could get a cheaper place if i don’t live near work. she thinks is because we are paying more to live near my work so i don’t have to pay for gas i should pay half for rent. i find she’s being selfish because she makes much more than mean, and once i complete my residency i can easily make $350k a year or more. 

but according to her it’s not fair for her to wait 3 years to “potentially get paid back” because we could breakup and she would have “subsidized” me. to me if she isn’t willing to pay a bit more to put some skin in the game she’s being a gold digger and waiting for me to make bank without giving anything in the first place. we argued about this a few times and i just want to know if i’m crazy in my thinking or she’s being selfish.",YTA
AITAA for taking my niece to court over a coat?,"i(28f) have a niece (16f). she is my only sister's only child.

2 years ago i married a very wealthy man (34m), and because of the pandemic, last christmas was my first with my in-laws.

my mil gifted me a coat that is worth more than $20k (i saw her wearing it, asked her where she bought it, and she said that it will be my christmas gift from her).

i didn't know how much it was (i knew it was expensive, but i thought maybe $3k at most). i was visiting my sister last january when my niece saw it, she googled the brand and showed me how much it really was. i won't lie, i didn't wear it after that because i was afraid of ruining it.

last week, i wore it while visiting my sister. while i was putting it back on to leave, i felt something go *splat* on my back, then my niece started cackling and the smell of paint hit me. i was so pissed off while she was not apologitic at all. her mom screamed at her and said she was grounded. then she said she will pay for the dry cleaning.

while i was in my car, still in shock btw, i got an alert that my niece posted a reel, it was of her *doing a prank* on me, and she said ""i'm going to hit my aunt's $20k coat with a paint filled balloon to see how she reacts"". i saved it on my phone, sent it to her mom and told her that a week's grounding is not enough. she did not reply, but i saw that my niece took it down (it got less than 5 views by then).

the next day i found out my coat can not be saved, so i called my sister and told her that her daughter has to pay it back. well, we got into an argument and she said that they will not be paying it, and if i wanted a new one, i should get my husband to buy it for me. i think that they should pay for it (they can afford to, imo they should sell my niece's car and pay me back my money). 

we did not reach an agreement, so i told her that i will be suing, and reminded her that i have video evidence that her daughter a) did it on purpose for online clout and b) knew exactly how expensive it was.

people in my life are not objective at all, i have some calling me an ah, some saying they are the ahs for not buying me a new one, and some so obsessed with the price of the coat that they are calling me an ah for simply owning it and wanting a new one.

so aita?",NTA
AITA? For suggesting that my wife switch to Formula so I could have more time with our son?,"hey y'all. read carefully before giving judgement!.

so my wife (f24) and i (m27) had our son 3 months ago. luckily as new parents we've had less issues compared to others in our family but what really created an issue was the fact that my wife gets wayyyy more bonding time with my son than i do. she breastfeeds and doesn't let me come anywhere near her while she's doing it claiming she was already in pain and i was making her stressed out with my behavior. she'd promise to let me have my bonding time once she's done but she takes a long time feeding and then the baby goes to sleep so i get pretty much,...almost, no time to bond with him.


it all came to head for me last night after my wife told me to leave the room while she was feeding our son cause i was '''bothering,,, her and making her feel '''stressed out,,, with my ''""judgemental,,, comments but i was just making sure she was feeding our son properly since she's dealing with stress and possible ppd and so i had to **(not under doctor's recommendation though but following my mom's advice)** be present in every feeding session to make sure nothing goes wrong and...like i said before maybe get a chance to bond with my son but it didn't end well and i refused to leave the room. she tried to unload on me about how unsupportive and difficult i was being but i told her she was wrong to exclude me and take away my attempt at bonding with my son and that it's only fair that i get to have equal time she has with him and suggested that she switch to formula so she has no way of keeping me excluded and again so i could get 50% of the time she has with him. she called me unreasonable and explained that even though i'm the parent too she as a mother is essentially what our son needs and relies on so her role is more important and she gets more time than i do simply because she's the mother. .....then she explained that my request was ridiculous because she is blessed to have almost no issues with bf and switching to formula was absolutely uncalled for and can not be afforded right now but i disagreed and argued that she left me no choice and that she needs to respect whatever decision i make regarding our son even if she doesn't like it and doesn't necessary agree with it but she argued back saying i'm delusional to think she'll just switch to formula to fix my hurt '''feefees,,, and even accused me of making this request so mom could meddle in and start feeding our son formula and have sleepovers since she was against her breastfeeding from the start due to how weak she was before. this really had me...kind of...lose my cool ngl. i told her that couldn't be further from the truth. matter fact, i strongly believe her refusal to consider switching to formula is mainly to spite mom not because she thinks my request was '''unreasonable,,,

long story short, we kept going back and forth on this argument and she told me to drop it but i refused because in my opinion she's being selfish by how she's treating me as the other parent.",YTA
AITA for refusing to get on a flight?," my boyfriend’s parents paid for them, my boyfriend’s siblings and their so to all go on a flight to cabo for spring break. becky his mom hasn’t seem to like me for some reason she always makes snide remarks about my parents blue collar jobs and my field is nursing. 

we get to the airport and becky got 7 other people first class tickets and me 1 coach ticket.  she told me i was used to it and she had a free coach ticket so i should be grateful for going. they all did their express check ins and left me in the long line for me to think about what the heck is going on. i had to keep from crying the whole time in line. i got up to the counter and there was a baggage fee to me. my boyfriend at the time never once helped me through the coach line or said anything to his mom. i looked over at his mom’s smug face as i was about to pay the checked baggage fee. and i let all of my frustrations out on the attendant and started crying. basically she said don’t go with that family sweetie they don’t appreciate you. continues to cry and took my luggage and got out and got out of line with the super sweet check in woman. i was so upset on how i was treated and started crying on my boyfriend in the airport about how his mother was treating me. 

i broke up with him at the airport and his mother was so embarrassed. i told her what a bitch she was. my boyfriend has been blowing up my phone saying how could i do that to his mother and just back out of a vacation very last minute and wasted everyone’s time and money.",NTA
AITA for faking sleeping all night to see if my wife is lying?,"the past couple of months, my wife has been complaining about our cats. she’s been claiming that the cats wake her up constantly and that she’s frustrated every night that she “has to get up and open the door for the cats” or “the cats keep making noises” or “the cats keep jumping on her.” it got to the point where she started saying she wants me to get rid of them. i told her i’ve never seen or heard any of this, but she claims i sleep through it all.

she kept telling me she was getting less and less sleep and kept acting aggressive, blaming lack of sleep from the cats, and that if i didn’t get rid of them, she’d leave me. i legitimately started considering giving the cats to my sister, until i noticed something.

one morning she claimed she had gotten up multiple times throughout the night to help the cats. she listed a bunch of times. i thought it was weird, because i had been up until 4am, and she claimed that she “got up at 1am to open the door for them, and a few times around 3am because they were meowing and jumping on her.” i was in the bedroom the entire time while she slept, and i know none of that happened. things weren’t adding up, so i decided to run a test.

i waited until she said she was going to bed, then i let the cats out of our bedroom, lowered my phone brightness, and faked going to sleep. i just laid there in bed for the entire night, bored, but i definately did not fall asleep. i made sure to make timestamps every 30 minutes on my phone through discord just to be sure. i marked down every noise my cats made. one cat had jumped down from something and made a little sound at 3:18am, and one ate food relatively quietly by the bedroom door at 4:57am. other than that, nothing happened.

sure enough, my wife slept from 11pm until 9am, and that morning she claimed she had woken up “at least 7 times” to open doors and from cat noises and cats jumping on her. at this point i was pissed because she was clearly lying to me. i was exhausted and fed up with the lies, so i just bluntly called her out on it.

i told her, “that’s funny. i stayed up all night to monitor the cats, and they weren’t even in the room at all last night. i have timestamps and everything. so you’ve been ***lying*** to me and trying to convince me to get rid of my cats? why?” she just sat there quitly shaking and looking pissed, then got up and left without answering. she came back hours later and ignored me whenever i talked, and when i asked her how **i’m** the bad-guy in this situation, **she finally said that i was treating her like a child by lying about sleeping and staying up all night just to see if she was lying or not** and that making timestamps and everything as if i was an investigator was “going too far” and makes me an obsessive asshole.

i did it because she was threatening to make me get rid of my cats or she’d leave me, and her claims didn’t add up.

so, am i an “obsessive asshole?”


**",NTA
AITA for not giving my daughter a letter my deceased husband wrote for her before he died?,"in january of 2019, my husband was diagnosed with a brain tumour. it was in a completely inoperable part of the brain, and was told me had six months to live. he stuck it out and died in october, three months longer than he was expected to. he was always positive, and decided a few weeks after his diagnosis that he would write letters for our daughters for significant events in their lives. my husband was my soulmate, and the past few months have been difficult knowing i’ve lost him 

we have two daughters, mia who is 21 and imogen (immy) who is 19. all three of us have become a lot closer since their dads death, and we’ve all really struggled. my husband and i were together since we were children, got married when we were 18 and we were approaching our 20th wedding anniversary when he passed. 

in february of this year, mia got married to a boy she’s been with for about 6 years. i absolutely love her husband and he’s been incredibly supportive during all of our grief. my husband wrote a letter for mia to open on her wedding day. it’s worth noting that my daughters were unaware of these letters, it was my job to give them to our daughters. 

her wedding day comes around and i just can’t bring myself to give her the letter. i read it and just wanted to keep it to myself. i had his handwriting and his words and it felt like he was there, and i couldn’t bare the thought of giving that up yet. i was fully intending on giving her all the other letters as the events happened. 

last week mia and her husband bought their first home together. they’d been living at our home since they got married, and so had a lot of stuff to pack and move to their new house. mia asked me where her important documents were, passport, birth certificate etc, so i told her they were in my top drawer of my dresser in my bedroom. the only letter that was in there was the one i was meant to give her on her wedding day, the rest were hidden away. 

she immediately recognised his handwriting and of course it was addressed to her, so she read it and broke down. she came and found me and started screaming at me asking how i could be so selfish. i didn’t really know what to say apart from the fact that i wanted to keep it and she could take a picture of it. both my daughters called me an asshole and are convinced i’m keeping them from a load of their dads stuff. aita?",YTA
WIBTA if I chose to stay home with my husband rather than go to my daughter's wedding?,"my daughter (28f) is marrying a woman (28f) and my husband and i have been trying to be as involved as we can be without violating our conscience or who we are and what we believe. ever since our daughter opened up to us about her relationship, we've been staying open-minded, praying, communicating with her about it, asking questions, researching, welcoming the girlfriend into our home and getting to know her, attending online therapy with a lgbt counselor that our daughter paid for, and just overall trying to be a loving presence in our daughter's life. it's a process and my husband and i have come a long way from where we were, but sometimes we still come across these, what our therapist calls, ""blocks of resistance"" that hold us back from supporting our daughter in the way that she may want us to, in that moment.

and what i really appreciate about this counselor is that she takes our situation into account as well and is willing to speak up for my husband and i. a few years ago, when our daughter wanted us to attend a gay parade with her, we were hesitant and our counselor stood by us by telling our daughter that it was ""too soon"".

but other than the gay parade, things have been pretty smooth up until now. my husband has drawn a hard line about attending the wedding. i was sort of on the fence about attending, but i decided to stick with my husband. our daughter is pissed. at our last therapy session together, a week ago, our daughter said that if we didnt come to the wedding, all the work and progress that we had made would mean nothing to her, and that she would not want us to be a part of her life.

again the counselor spoke up for us and told our daughter that everyone had their hard boundaries (boundaries that they would absolutely not cross) and that instead of making ultimatums, it would be better to consider the overall picture rather than letting one moment be the deciding factor of the relationship. [i'm paraphrasing, she said it much better, but i think i got the main point].

the counselor talked to me privately afterward and told me how her parents hadn't came to her wedding, and they eventually made up thirty years down the line, but that was thirty years of memories that they both had missed out on. yet, when she talked to her parents about it recently, they said that even as much as it had hurt them not to go, they would have made the same choice because it was just something that they strongly disapproved of. she ended by telling me that she wasn't going to tell me to go or not to go, but to really consider all the pros and cons.",YTA
AITA For asking my GF to pay for a new prosthesis?,"i (m24) had an auto accident over 2 years ago that resulted in a left leg knee amputation, i thought that would been the end of my active lifestyle, i loved all kinds of sports as a kid and i still do.
i had a very hard time adjusting to my new normal, my parents were able to get me a prosthetic leg that allowed me to get back to running and going trips with my friends like we always do every summer.


the guys were planning an rv trip on the weekend, we had already chosen a destination which was spending some time out in nature and getaway from stress.


my girlfriend asked if she could come along, i told her no, this is a guy's trip, told all my buddies' girlfriends wanted to go but they were firm and put their foot down, she laughed at me for this then tried to convince me to let her come cause she was feeling stressed out from being at home 24h, i already made up my mind, i wasn't going to ruin the trip just because she wants to be on a guy's trip, i promised her a trip when i get back, she got upset and didn't like the idea.

later on, before i went to sleep, i took my prosthesis off as i do every night, this is my second prothesis, i've already completed a wearing schedule during first year and had to get another prothisis to accommodate any physical changes i had.

i woke up in the morning and i couldn't find my prosthesis, i looked where i put it but it was gone, i asked my girlfriend who was doing heavy cleaning around the place, and she said she didn't see it, i was confused it was near my bed, i asked her to stop being childish and playing games and give back my prosthesis because i knew she took it.

she's a bad liar couldn't even deny it, she said she wanted to hide it so that i won't go on that trip and leave her alone. i got mad at her for this, i was stunned to find my prosthesis hidden underneath an auto part in the garage, it had been damaged, it was placed in a possession where it had a crack, it was abvious it no longer functions properly, i mean i could still wear it but can't put my whole weight on it cause it would break.

i yelled at her and showed her what she did, she said she didn't mean it, i told her she did mean it because she was being childish and jealous over a trip and now she caused me 7000$ worth damage, i told her she ruined everything, that she owed me a new one and that she needed to pay for a new one.

she got mad and left, i basically had to use my old crutches it felt absolutely horrible, i called the guys and told them i wasn't coming, it's been a few days, she's mad that i'm still asking her to pay for a new prosthesis and called me an a**** for not apologizing and preferring a ""plastic leg"" over her.

i had to call my parents today to tell them they told me she should at least help pay half the expense of a new prosthesis since she caused damage to it, and then consider my relationship with her.

have i been an a**** to her ?",NTA
AITA for being upset with my son for finding a job without telling me?,"
my son is 18, he is going to be attending community college and is living with me, my husband and his 2 younger half sisters.


the other day i found out that he found and accepted a job without telling me. i was upset with him about it and the reason for that is that first of all, he should've told me since we live in the same house and also, and more importantly now i'm left without someone to stay with the girls from 3 to 8 where my shift start-ends. my son is usually the one to stay home with the girls and his new job is during these hours so one way or another we are impacted.


he told me his friend found him this job and it just happened - but i don't think it did because he knew he had to give up staying with his sisters while i work. my husband travels most of the time (he's a pilot) and paid child care is a no for me. my son said i shouldn't be surprised by him trying to work to save money to be able to pay for himself but that is just absurd since he literally lives with us without having to pay for anything except for his own entertainment. he said he needed the job and he wasn't reallistically going to stay and watch his sisters for days on end especially he doesn't get paid for it. we kept arguing and my husband got involved and he too was upset saying that my son had no respect for us. my son basically had a ""like it or not"" attitude with us and kept refusing to discuss this wirh us saying we have no right to be upset with him and should just accept it. but i'm just...i think that he's being inconsiderate of my husband's and i's struggle to provide for the family as a whole. this should mean something to him but he acted selfishly.


eta okay, it seems that i did not mention the reason why the babysitter option isn't ideal and is because my daughters don't want a babysitter. they're both dealing with some issues and are unconfortable being with a stranger at home. besides that my son decided to stay with them and we didn't ask him or anything.

eta okay, some of you here are implying or suggesting that i'm making my son to be the girls' babysitter but that is in fact not true. he doesn't do much for them, just stays home with them while he studies or plays video games. he adores his sisters and only stays with them when he wants to. otherwise we wouldn't force him. also, my husband said the girls are too young for therapy and i agree with him on that.",YTA
AITA for wrapping a fake present for my kids?,"i have two sons from a previous marriage ages 8 and 9. i've had full custody for the last three years and it's just the step mom and me now. their mother is no longer in the picture.

they were so excited about christmas last year. there were many presents for them under the tree from the grand parents and us, and they were constantly checking them out trying to guess what was in them. 

they could hardly wait for christmas day and begged us to let them open some presents early. so we allowed them to open one present that was gifted to both of them. it was the heaviest package under the tree and you could feel their excitement when i told them they could open it on christmas eve. they tore into it like a couple savages. i'd wrapped it very well to make it take a little time to get at the goods. 

as the final paper was ripped off the present, the oldest was going like ""it's a..it's a"" and the final paper came off, ""brick"". i thought it was hilarious. the looks on their faces was priceless. unfortunatly they were somewhat upset, tears were shed etc. so we let them open one more present to calm them down.

am i the asshole for wrapping a brick as a present?",YTA
AITA for saying it’s a little embarrassing that a girl’s nanny puts little notes in her lunch,"so, this girl, nicole(16), started going to my (16f) school after winter break. she’s a little weird tbh. she doesn’t talk a lot and when she does talk, she’s so quiet that you can barely hear her. 

she used to eat in her car but one of my friends felt bad for her and invited her to eat with us. i noticed that all of her lunches had a little piece of paper and she’d read it, smile for like 2 seconds, then fold it up and put it in a pocket in her lunchbox. sometimes she’d take it out and read it a couple times during lunch.

i eventually asked what it is and she said she has a nanny and she writes her notes every day. i asked if she thinks that’s a little embarrassing because i don’t know anyone who’s had notes in their lunches past 5th grade. 

she got kinda defensive and said that her nanny does similar things for her siblings, who are all in preschool or elementary school so it kinda proved my point. 

she started eating in her car again and one of my friends got mad at me because apparently she had a really bad home life before moving here and she’s never had anyone do that stuff for her. idk how tf she expected me to know, considering she usually only talks about school but it’s starting some drama in my friend group so i wanted to know if i was the asshole.",YTA
WIBTA for running away on our honeymoon?,"(not from my husband)

my husband and i are on our honeymoon. his parents gifted us a week in an all inclusive hotel at no cost to us as a wedding gift, and we were really grateful. on arriving we found out that they'd also booked a room at this hotel for themselves for the whole week and want to do group things. outside of this, we see them maybe 2 or 3 times a year for a couple days at a time as he finds them a bit overbearing at times and they don't really like me.

it's not like they're in the room next door or anything and we can still do stuff in our room alone but they knock on our door regularly, waking us up at 6am, making us get all 3 meals a day with them. we've tried telling them we wanted ""alone time"" for our honeymoon and they shrugged us off saying that's what our room is for. we also tried faking illness to get out of eating with them and they just got room service to our room and sat with us while we faked stomach aches. my husband snapped earlier and said this whole thing was way over the line and they had no right intruding on our honeymoon of all things, and they told us that they paid for this whole thing and that as adults we're allowed to take holidays at the same time to the same place.

we've been talking and we saved up to pay for our own honeymoon before they surprised us. we still have the money we would have spent in our joint wedding/honeymoon account. there's another town we wanted to go to on our honeymoon and we looked it up and we could get tickets from here to there and then back home for less than £60 total. we could also book a few days in a nice hotel for about half of what's left in our wedding/honeymoon fund and use the remainder of the week we booked off in another town without his parents knowing we'd left until we had.

it's 9pm now, there's trains from here to the other town every hour, plus more half-hourly trains tomorrow.

would we be the arseholes if we ran away from his parents without telling them?",NTA
AITA for telling my sister that she chose the life that she has and she shouldn't complain about it?,"to start this off, i'm going to give you some context as to what she did and why i don't pity her. i (28f) have a sister, caitlin, who is one year older than me. growing up, we were dirt poor. our family nailed almost every single southern hillbilly stereotype on the head. we both did decently, but neither of us had ever considered college. 


caitlin graduated high school first and got a full time job immediately. she began to help with bills, but at some point began thinking about maybe going to school. i was having the same thoughts a year later when i graduated. well, what we hadn't known was that when our great-grandma died, she left my dad all that she had which came up to a sum of a couple thousand dollars that they decided to save for us. and because cait began talking about maybe going to school, mom began to save her bill money to add to the sum of the money. unfortunately, it still wasn't a lot, so our parents sat us down and explained that they had money for only one of us to go to school and that they would have to think about who to give it to. 


i was prepared to fight for this chance, because i realized this was my chance to better myself. i was ready to do whatever it took, but i didn't end up needing to because cait gave up. 


i guess caitlin realized she wouldn't be picked because i had better grades and was more well-liked because mom told me later that day that she had backed down and said to give it to me.


so fast forward, i got my bsn and work as a travel nurse. i do very well for myself and live an 2hrs away from my hometown. i went to visit my sister because she's pregnant with my nephew and i missed her and brought some gifts. we had lunch and were just chatting about what we were up to when she began to complain and whine that she was tired and asked if i didn't mind if she vented. before i could answer, she started talking about how she was tired all of the time from her shifts at work and then having to come home to her kids and her husband. it sounded a lot like she was regretting her life and after about twenty minutes, it was starting to get on my nerves. she would not stop or change topic. 


finally, i lost it and told her that i wasn't here to listen to her complain and that she really shouldn't complain about the life she chose. i told caitlin that if she didn't have to get married or have a low paying job, and if she had wanted to better herself, she should've fought harder to go to college instead of giving up before she even tried. it ended in her crying, which i felt horrible about, and then she went home without saying anything else. i tried apologizing for how i phrased it, but not for anything i actually said because it was true, but she won't accept it. our parents have been giving me the cold shoulder and i feel lost because they won't listen to my side of why i said what i said. aita here??",YTA
AITA For walling off my backyard because I dislike 2 kids and depriving everyone else as a result?,"i sure feel like ta but i don't think i am so help me out here.

i live in a non english speaking european country and because of history that means land borders between properties are sometimes very weird. well that is the case with my house and the neighbors, all our houses are about the same size yet out of all the land behind our houses my area is huge i own like 90% of all land there reaching all the way to the woods far behind our houses, meanwhile all my neighbors essentially got tiny strip right behind their houses.

now the part right behind my house is fenced off yet the rest is pretty much open and my wife and daughters like to use it for gardening. 

the field is used by most of the neighborhood boys to play football on as it is the only flat piece of grassland around they always ask for permission to use it before hand and i always allow it on the condition i get no complaints if i tell them to leave and they don't litter. 

i also recently had a pool installed to the far back of my property and fenced it off, this is important later.

well this is where the issue starts, recently a new family moved in and they seem to think it is public land. i kept catching their kids running around through the flowers and vegetable garden and they even moved their grill on the field and held a picnic on my land. i keep telling them off and informing it is my land, but they just ignore me and the kids sometimes wont leave when i tell them to. a month ago the kids even climbed over the fence around the pool  and when i got them out and went to their parents they just said ""oh we figured it was a public pool"", i had hoped that was the end of it yet these people build a fire pit in the 3 days i was away from my house and when i got back i found it with a bunch of empty beer cans around.

that was the last straw for me and i hired a company owned by a buddy of mine from when i used to do construction work, bought all the supplies, and 7 days later and a lot of money lighter my entire property was walled off and whenever anyone asked i told them why i was doing that and who they could thank for it.

well now the new family is treated as if they are a pest and all the neighborhood kids are gutted they lost their football field which has resulted in them picking on the new neighbors kids

i honestly feel pretty terrible, but i also feel like i gave them plenty of warnings before taking drastic actions.",NTA
AITA for doing the same thing to my sister-in-law that she does to my son?,"so background: i (32f) have a brother, ""dave"" (35m), who's married to ""sarah"" (29f). they don't have children yet. i have a son who just turned four and a three-month-old daughter with my husband (39m). my husband and i live in belgium most of the time, but we travel back to visit my family about once a month (in england). at home, we speak both english and french to our children (my husband is belgian), and right now, my son is in this very sweet phase where he'll sometimes mix up the two languages and say a couple of words in english in a french sentence or vice-versa. this has never posed a problem to us, and even the staff at his nursery have reassured us that it's very common and they tend to grow out of it once they start at school.

my sister-in-law has decided that this is a problem, so when we're visiting my parents and she notices my son doing this, she'll correct him, but she does so really rudely, whereas my husband and i will just gently correct him.

anyway, we're visiting at the moment and she's now decided that instead of correcting him, she's just going to start ignoring him when he does this. i sort of noticed her doing it when we arrived, and i thought it was odd, but assumed maybe she was just stressed (her job is quite intense), but it only really became an issue yesterday. my husband was talking to my dad outside and i was feeding my daughter in the other room, and i'd left louis with sarah and dave. when i came back downstairs, louis was crying, and i managed to understand that he'd tried to ask sarah for a drink (he has a special cup he uses that he was holding, so it was obvious what he meant) but that she'd just ignored him. i asked her why and she explained that she wasn't going to reply to him unless he said the sentence correctly and that i shouldn't be ""ignoring my son's obvious speech issues."" for context, it's not that she didn't know what he wanted. she told me that she understood exactly what he was asking for, but that she was deliberately refusing because he hadn't asked correctly.

this really pissed me off, but luckily my husband came inside at that moment and pulled me away so we could calm down and settle louis. that night at the dinner table, sarah asked me to pass her something, but she said it in ""bad"" english (she is english, i just mean that she asked for it in slang. think, ""pass *us* the peas, will you"". i had a bit of an epiphany and i just decided to totally ignore her. she asked again, and i did the same thing. my brother asked why i was ignoring his wife and i said that i'm not able to reply if she can't speak english correctly and that it's wrong of him to ignore her obvious issues with grammar.

everyone's pretty pissed off with me and i admit it was incredibly childish, but she was needlessly being a dickhead to my baby.

should i just apologise?

**",NTA
AITA for telling everyone exactly why I'm getting divorced?,"my ex and i have one child together. we found out during my pregnancy that our child would be deaf, and wouldn't qualify for the surgery that some deaf people are able to get due to a combination of problems. while the external issue is a fluke, the internal issue is apparently something that i always had a 25% chance of passing down to a child. 

not to toot my own horn, but once i learned this, i made an effort to start connecting with the deaf community in my area and learn asl. he did not, and while he stayed for the birth, he moved in with his brother right after dropping me off at my home. i own the house, and did before i met him, so it's not part of the divorce. he was nice enough to give me 2 months worth of a cleaning service and a gift card to grubhub. 

he ended up telling everyone that i am the reason he doesn't see our child, and that i filed for divorce because i overreacted.  the truth is that i have sole custody because he cried, in court, that he couldn't ""deal"" with the baby and wanted to just pay support. while i did file, it was because he abandoned me and said so many horrible things that i couldn't get over. 

i have text messages he sent me which say that he wouldn't have married me if he knew that we would produce ""problems"" and that he couldn't handle raising a ""r******"" (the only thing wrong with her is hearing). i don't want my child to grow up in a home where she's hated. 

i was starting to hear all sorts of crap from my family and his, who started to take his side because divorce isn't really a thing here, so i took action. i made a social media post publishing the text messages so that people would finally see the truth. i'm now getting calls and messages for ""making a private issue public"" and ""parental alienation"". aita?",NTA
"AITA for teaching my (20M) niece (4F) to say ""el chupacabra""when her mom (32F) says ""you know what really gets my goat?""","uh basically title i guess. my sister has a habit of saying ""you know what really gets my goat"", she probly says it 7/8 times a day. so like that tumblr post i taught my niece to say ""el chupacabra"" when her mom says it (it sounds more like ""eh supacaba"" tho cause shes four but its adorable). i told my niece it was a monster from mexico that eats goats and she didnt seem scared or anything, probly cause the only monster she knows is cookie monster, but apparently now my niece walks around the house saying ""el chupacabra!"" all day and now my sister &amp; brother in law are mad at me for teaching her this, but imo its kind of adorable and also harmless?? but like shes my sisters kid so idk.",NTA
AITA for searching my husband's pants without asking him first?,"

context: my husband [33] used to be unemployed for a year, he recently started a job at a warehouse. 

yesterday, and while i was about to do the laundry, i grabbed his work pants and digged my hand in it's pockets to empty them before putting it in the washing machine like i  always do. 

my husband just happened to walk by and when he saw me searching his pants pockets. he rushed in yelling at me to put his pants down. i already had a folded piece of paper out but he snatched it then started screaming at me about how i have no respect for his privacy and that i shouldn't be getting my hands on his things. i was genuinly dumbfounded i told him to take it easy i alwaye do this before laundry. he lashed out saying i had no right and should've come to him and asked him first because he was worried about important documents getting lost like the one i pulled out. i said important documents shouldn't be inside his pockets and asked to see the paper but he said he won't show me. i asked why and he said i don't get to ask him jack shit after i disrespected his privacy. i almost laughed because what privacy does he have in pockets? it wasn't like a stranger was digging into them. 

he refused to speak to me and later brought a new closet with a lock and moved his clothes inside of it. i asked if he was serious and he said this will teach me to respect his privacy and deter my snooping. then went back to not speaking to me.


i'm genuinely confused, aita?",NTA
AITA for telling my family they can’t use Spanish on Christmas Day or my husband and I are not coming.,"my (f35) family is mexican and we live in tx. everyone in my family is bilingual and they tend to mix english and spanish constantly.
my siblings spouses have all learned some spanish, some better, some worse, but they can still participate in all conversations.

i’ve been with my husband for 10 years. he took a few classes but he found it too difficult and decided that he can’t learn a language as it’s his thing just like math isn’t his thing and he dropped it.

every family gathering (there are a lot of them) he feels left out because everyone switches back and forth and he doesn’t understand them. i have to translate for him and it really must be uncomfortable for him.

this year he said that he’s not coming, he feels excluded and even when he talks with non mexican spouses, they mix and match languages and he felts it’s to mock him because there’s no need to.

i called my mother and told her that they must promise to not speak spanish because it’s excluding my husband or were not coming.
my mother was angry, she told me they’re not going to police their speech, that they were accommodating for the first few years but he made no effort and it’s ridiculous that he doesn’t even try. i told her to at he did try but she knows it’s difficult for him.

she said that he’s no longer invited and i can come on my own. i was really angry and repeatet my ultimatum. this didn’t go down well. my whole family is pissed off, my husband is on my side and i don’t know anymore. aita for giving them the ultimatum?",YTA
